iter	RMSE
0	798.2598629
1	764.4159108
2	731.3003546
3	699.469087
4	670.4206932
5	641.7407902
6	615.8189405
7	589.0869291
8	563.4917333
9	540.8941605
10	518.9534065
11	497.2169699
12	477.4776505
13	458.9310587
14	440.4952121
15	422.3118994
16	405.9570586
17	390.858516
18	375.9713513
19	362.0173266
20	348.221673
21	335.7845334
22	323.9852513
23	312.4917197
24	301.6734431
25	290.8921195
26	280.7491779
27	271.2357643
28	262.4348941
29	254.1396281
30	245.6014019
31	237.7621525
32	230.5376732
33	222.7710824
34	215.8495868
35	209.5232521
36	202.9594782
37	196.7452798
38	191.215975
39	185.9639734
40	181.2222034
41	176.1903643
42	171.1514357
43	167.0010944
44	162.437875
45	158.7544886
46	154.8722857
47	151.4871835
48	148.0227708
49	144.8691438
50	141.8050207
51	139.2239508
52	136.7950918
53	134.5399035
54	132.078699
55	129.5272484
56	127.0112313
57	124.9167169
58	123.0629121
59	121.1512284
60	119.0001649
61	117.4842141
62	115.7809897
63	114.3658135
64	112.8479803
65	111.3315215
66	110.1333166
67	108.5748523
68	107.0836932
69	105.6456093
70	104.6135684
71	103.497317
72	102.4749258
73	101.4221076
74	100.6698556
75	99.76976075
76	98.60938081
77	97.59366884
78	97.05218325
79	96.35052965
80	95.56263002
81	94.99860459
82	94.40799692
83	93.74160397
84	92.95873682
85	92.27654136
86	91.75217665
87	91.1939951
88	90.44314254
89	89.79847649
90	89.33214596
91	88.97844854
92	88.25273454
93	87.94159035
94	87.23358397
95	86.35039275
96	85.71465109
97	85.07621438
98	84.77105554
99	84.32696718
100	83.96817614
101	83.48872814
102	83.23640161
103	82.90366744
104	82.55166385
105	82.35177649
106	82.13585601
107	81.73016432
108	81.35187243
109	80.94276323
110	80.58891575
111	80.02276121
112	79.66690323
113	79.45541033
114	79.184352
115	78.78253538
116	78.56530217
117	78.33828258
118	77.99354432
119	77.47939564
120	77.17951292
121	76.91522658
122	76.66329414
123	76.35177102
124	75.87081719
125	75.69079132
126	75.49292783
127	75.13551795
128	75.02212168
129	74.70760832
130	74.30162901
131	74.05574553
132	73.92428028
133	73.54300168
134	73.31353949
135	73.16578839
136	72.98246125
137	72.75762531
138	72.49896366
139	72.31926827
140	72.02316782
141	71.83714047
142	71.72478007
143	71.60026095
144	71.47431445
145	71.21642317
146	71.04352738
147	70.84057555
148	70.7395568
149	70.43344548
150	70.2687104
151	70.08203012
152	69.86088518
153	69.74611415
154	69.59407802
155	69.29514209
156	69.15967729
157	69.0273539
158	68.88692378
159	68.75943667
160	68.52814514
161	68.43005868
162	68.29981721
163	68.06843381
164	67.83503861
165	67.63057572
166	67.54540526
167	67.36570354
168	67.22373214
169	67.01357186
170	66.86549109
171	66.65302009
172	66.54155542
173	66.39324708
174	66.2422474
175	66.11589086
176	65.97425428
177	65.80114848
178	65.6703454
179	65.56219548
180	65.49554168
181	65.42146284
182	65.27174406
183	65.18208706
184	65.03214553
185	64.90776902
186	64.68395198
187	64.60514188
188	64.40687848
189	64.25808382
190	64.16834204
191	63.97333389
192	63.90250411
193	63.77983281
194	63.64721737
195	63.56961877
196	63.42784503
197	63.36514456
198	63.21610877
199	63.06025604
200	62.92684538
