iter	Passed	Remaining
465	767	879
466	768	877
467	770	876
468	772	874
469	774	873
470	776	871
471	777	870
472	779	868
473	780	866
474	782	865
475	784	863
476	786	861
477	787	860
478	789	858
479	790	856
480	792	855
481	794	853
482	795	851
483	797	849
484	798	848
485	800	846
486	801	844
487	803	842
488	804	841
489	806	839
490	808	837
491	809	836
492	811	834
493	812	832
494	814	830
495	816	829
496	817	827
497	819	825
498	820	824
499	822	822
500	823	820
501	825	818
502	827	817
503	828	815
504	830	813
505	831	812
506	833	810
507	835	808
508	836	807
509	838	805
510	839	803
511	841	802
512	843	800
513	845	799
514	846	797
515	848	795
516	849	793
517	851	792
518	853	790
519	854	788
520	856	787
521	857	785
522	859	783
523	861	782
524	862	780
525	864	779
526	865	777
527	867	775
528	869	774
529	871	772
530	875	773
531	881	775
532	883	774
533	888	775
534	892	775
535	896	776
536	898	774
537	903	775
538	905	774
539	907	772
540	909	771
541	910	769
542	912	767
543	914	766
544	916	764
545	917	763
546	919	761
547	920	759
548	922	757
549	923	755
550	925	754
551	926	752
552	928	750
553	930	748
554	931	747
555	933	745
556	935	743
557	936	742
558	938	740
559	941	739
560	942	737
561	944	735
562	946	734
563	947	732
564	949	731
565	951	729
566	952	727
567	954	726
568	956	724
569	958	722
570	959	721
571	961	719
572	963	717
573	964	715
574	966	714
575	968	712
576	969	710
577	971	709
578	972	707
579	974	705
580	976	703
581	977	702
582	979	700
583	980	698
584	982	697
585	984	695
586	985	693
587	987	691
588	989	690
589	990	688
590	992	686
591	994	685
592	995	683
593	997	682
594	999	680
595	1000	678
596	1002	676
597	1004	675
598	1005	673
599	1007	671
600	1009	669
601	1010	668
602	1012	666
603	1014	664
604	1015	663
605	1017	661
606	1019	659
607	1020	658
608	1022	656
609	1024	654
610	1025	653
611	1027	651
612	1029	649
613	1030	648
614	1032	646
615	1033	644
616	1035	642
617	1036	640
618	1038	639
619	1040	637
620	1041	635
621	1043	634
622	1045	632
623	1047	631
624	1048	629
625	1050	627
626	1051	625
627	1053	624
628	1055	622
629	1057	621
630	1059	619
