,geo_id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
131,90026,2275.5,2212.8333333333335,2202.4166666666665,2280.3333333333335,2409.1666666666665,2645.6666666666665,2748.3333333333335,2787.4166666666665,2727.6666666666665,2777.0833333333335,2771.0
134,91910,2015.75,1906.5833333333333,1854.75,1906.75,1962.8333333333333,2088.8333333333335,2185.9166666666665,2232.9166666666665,2279.5,2387.6666666666665,2482.0
137,93722,1262.5,1106.0,1002.25,1021.8333333333334,1014.4166666666666,1091.1666666666667,1122.1666666666667,1192.0,1227.1666666666667,1254.0833333333333,1286.0
149,94533,1552.6666666666667,1530.75,1502.5,1520.8333333333333,1594.9166666666667,1723.0833333333333,1827.5,1877.5,1923.0,1989.0,2070.0
159,95608,1328.5,1365.5,1343.1666666666667,1370.9166666666667,1405.6666666666667,1488.75,1583.5833333333333,1660.6666666666667,1724.4166666666667,1789.4166666666667,1830.0
163,92677,2424.25,2389.9166666666665,2481.25,2516.25,2632.1666666666665,2785.3333333333335,2877.9166666666665,2872.1666666666665,2905.4166666666665,2901.75,2909.0
167,90066,3180.5,3040.9166666666665,3024.8333333333335,3090.1666666666665,3236.5833333333335,3505.6666666666665,3605.75,3521.5,3404.5833333333335,3372.6666666666665,3346.0
174,92336,1606.5,1609.1666666666667,1601.9166666666667,1660.5833333333333,1635.25,1760.6666666666667,1828.4166666666667,1895.3333333333333,1961.5833333333333,1998.4166666666667,2069.0
181,95823,1209.3333333333333,1151.5,1149.75,1188.4166666666667,1217.5,1291.8333333333333,1379.6666666666667,1461.0833333333333,1542.5,1599.0,1675.0
182,92345,1159.0,1206.0833333333333,1163.5,1141.25,1138.9166666666667,1198.0,1242.25,1298.75,1335.8333333333333,1368.0,1418.0
190,95747,1467.5,1541.4166666666667,1591.25,1644.3333333333333,1714.5,1802.75,1905.25,2029.1666666666667,2069.6666666666665,2090.5833333333335,2063.0
193,92804,1885.25,1846.5,1859.0,1911.75,1963.25,2131.75,2235.9166666666665,2277.5833333333335,2310.25,2384.75,2366.0
196,92126,1868.0,1836.0833333333333,1840.8333333333333,1893.5833333333333,1964.5,2097.9166666666665,2222.1666666666665,2274.0,2356.25,2432.75,2435.0
201,92503,1568.25,1613.0833333333333,1583.0,1632.4166666666667,1694.4166666666667,1772.0833333333333,1826.4166666666667,1883.25,1930.6666666666667,2007.3333333333333,2079.0
202,91911,2008.5,1859.5,1816.9166666666667,1862.5833333333333,1894.25,2007.75,2115.5,2162.0833333333335,2215.75,2293.3333333333335,2376.0
212,92101,2199.0,2186.6666666666665,2173.0833333333335,2255.5833333333335,2373.75,2474.0,2558.5,2579.5,2645.25,2724.6666666666665,2697.0
213,90019,2191.0,2192.5,2102.6666666666665,2161.3333333333335,2333.5833333333335,2572.5,2670.25,2748.6666666666665,2718.6666666666665,2796.0,2800.0
222,94536,2269.25,2038.1818181818182,2078.25,2230.5833333333335,2462.3333333333335,2839.0833333333335,3005.8333333333335,2989.0,2988.0833333333335,2994.4166666666665,2992.0
228,92592,1663.75,1628.9166666666667,1607.5833333333333,1643.75,1698.25,1768.0833333333333,1854.5833333333333,1943.1666666666667,2007.5,2042.75,2041.0
234,90280,2158.75,2064.4166666666665,1986.4166666666667,2026.5833333333333,2050.0,2190.25,2256.6666666666665,2332.1666666666665,2367.3333333333335,2406.5,2437.0
240,90201,2109.25,2073.4166666666665,2000.1666666666667,2108.0,2127.1666666666665,2317.3333333333335,2389.25,2458.6666666666665,2411.5,2222.5,2272.0
241,91730,1791.0,1754.25,1758.8333333333333,1813.3333333333333,1813.6666666666667,1928.0833333333333,2019.5833333333333,2109.0,2163.0833333333335,2175.8333333333335,2215.0
244,90004,2276.5,2257.8333333333335,2218.1666666666665,2296.8333333333335,2435.9166666666665,2651.75,2738.0833333333335,2828.0,2778.0833333333335,2848.9166666666665,2861.0
246,92109,2978.25,2738.4166666666665,2623.6666666666665,2666.0,2786.4166666666665,2939.4166666666665,3005.4166666666665,3091.8333333333335,3078.0,3240.4166666666665,3272.0
260,91342,2129.25,2050.0,2072.5,2115.4166666666665,2167.4166666666665,2287.5833333333335,2391.25,2449.4166666666665,2520.25,2527.9166666666665,2547.0
261,90706,2164.5,2092.5833333333335,2032.5,2121.4166666666665,2137.6666666666665,2295.3333333333335,2371.5,2427.3333333333335,2409.4166666666665,2308.6666666666665,2345.0
262,92335,1418.0,1394.0,1382.75,1430.0,1400.9166666666667,1533.1666666666667,1660.8333333333333,1684.8333333333333,1777.4166666666667,1811.75,1851.0
263,95123,1828.75,1904.25,2113.5,2265.3333333333335,2375.1666666666665,2734.25,2962.5833333333335,2958.25,3000.0,3019.5,3018.0
264,92021,1774.0,1730.0,1740.0,1788.4166666666667,1852.75,1961.6666666666667,2057.3333333333335,2112.6666666666665,2182.1666666666665,2287.5833333333335,2342.0
269,93065,2177.0,2179.4166666666665,2212.3333333333335,2273.75,2337.0,2445.5833333333335,2505.9166666666665,2551.8333333333335,2613.25,2679.5833333333335,2684.0
279,92627,2327.25,2356.3333333333335,2420.6666666666665,2468.25,2584.9166666666665,2772.5833333333335,2860.5,2903.75,2914.6666666666665,2961.9166666666665,2961.0
286,90025,3501.5,3423.0,3424.9166666666665,3473.6666666666665,3578.5,3840.1666666666665,3973.25,3837.5,3742.5,3705.3333333333335,3701.0
294,95035,2244.5,2164.5,2346.9166666666665,2493.0,2680.25,3086.0,3232.3333333333335,3156.0833333333335,3156.4166666666665,3161.5833333333335,3143.0
295,91710,1807.25,1814.75,1799.75,1830.0833333333333,1844.0,1978.6666666666667,2101.8333333333335,2180.0,2216.1666666666665,2215.6666666666665,2235.0
296,90011,1843.25,1810.0833333333333,1767.5,1827.1666666666667,1885.6666666666667,2123.9166666666665,2258.6666666666665,2360.6666666666665,2400.9166666666665,2408.3333333333335,2385.0
302,94544,1722.0,1677.0,1765.5833333333333,1882.8333333333333,2053.5833333333335,2357.5,2588.75,2630.3333333333335,2656.8333333333335,2670.3333333333335,2722.0
319,90027,2425.25,2368.25,2338.75,2443.4166666666665,2584.5833333333335,2809.6666666666665,2901.5833333333335,2947.0,2879.4166666666665,2900.9166666666665,2879.0
324,93727,1223.25,1124.0,1025.7,1060.9166666666667,1058.75,1125.9166666666667,1167.1666666666667,1207.8333333333333,1254.6666666666667,1293.3333333333333,1340.0
325,94568,2303.0,2051.0,2201.1666666666665,2298.0,2617.5833333333335,3013.5833333333335,3120.0,3088.25,3007.3333333333335,2991.9166666666665,3102.0
327,95051,2123.75,2181.4166666666665,2378.0833333333335,2515.4166666666665,2807.5454545454545,3302.3333333333335,3396.9166666666665,3311.0833333333335,3353.25,3394.5833333333335,3387.0
328,91335,2120.75,2042.4166666666667,2090.9166666666665,2144.8333333333335,2217.8333333333335,2346.5833333333335,2462.8333333333335,2520.5,2592.9166666666665,2637.75,2714.0
329,95687,1535.75,1527.5833333333333,1521.8333333333333,1547.5833333333333,1618.25,1778.1666666666667,1871.0833333333333,1945.4166666666667,2008.8333333333333,2092.75,2120.0
333,90731,2187.25,2042.3333333333333,1963.9166666666667,2035.5,2049.4166666666665,2234.9166666666665,2309.4166666666665,2366.5,2392.0,2451.4166666666665,2410.0
344,93550,1645.25,1419.3636363636363,1300.1666666666667,1330.5833333333333,1352.6666666666667,1454.0,1561.25,1678.3333333333333,1765.1666666666667,1861.5833333333333,1861.0
346,93536,1735.5,1499.0,1379.0833333333333,1400.0833333333333,1419.75,1574.9166666666667,1755.0833333333333,1853.5,1927.25,2015.9166666666667,2065.0
357,92630,2025.5,2061.1666666666665,2112.5833333333335,2192.75,2328.75,2466.5,2539.75,2597.0833333333335,2631.0,2709.25,2693.0
361,94509,1849.75,1737.4166666666667,1700.5,1730.25,1754.0833333333333,1873.3333333333333,1998.8333333333333,2042.6666666666667,2138.3333333333335,2237.4166666666665,2283.0
364,95758,1452.75,1450.1666666666667,1449.3333333333333,1476.8333333333333,1455.4166666666667,1547.3333333333333,1661.0833333333333,1737.9166666666667,1786.3333333333333,1817.0833333333333,1821.0
365,93306,1440.0,1042.4,1026.8333333333333,1107.9166666666667,1099.4166666666667,1150.0833333333333,1174.75,1177.1666666666667,1176.3333333333333,1202.1666666666667,1266.0
371,93307,1233.0,953.2,928.75,977.0,992.0,1041.6666666666667,1031.8333333333333,1059.5833333333333,1058.4166666666667,1106.5,1155.0
374,93535,1671.0,1398.1,1287.9166666666667,1302.9166666666667,1311.4166666666667,1405.25,1524.0833333333333,1666.0,1735.5,1824.8333333333333,1876.0
376,94122,3309.5,2953.0,3073.0833333333335,3263.25,3733.25,4228.166666666667,4287.166666666667,4064.5833333333335,3986.0833333333335,4022.3333333333335,4009.0
380,93274,1272.5,1237.9166666666667,1194.4166666666667,1106.5,1045.1666666666667,1059.3333333333333,1079.0833333333333,1119.4166666666667,1105.4166666666667,1118.75,1178.0
394,93257,1269.25,1196.4545454545455,1117.5833333333333,1041.8333333333333,1007.6666666666666,1038.0833333333333,1066.5833333333333,1087.75,1095.5,1123.25,1181.0
401,93230,1397.25,1332.8333333333333,1195.7272727272727,1132.6666666666667,1182.25,1160.5833333333333,1209.5833333333333,1249.9166666666667,1237.6666666666667,1236.8333333333333,1300.0
418,93309,1432.0,1094.2,1064.75,1138.9166666666667,1136.75,1171.3333333333333,1191.0,1189.0,1205.1666666666667,1247.0,1295.0
426,94541,1878.0,1781.1666666666667,1867.9166666666667,1985.4166666666667,2178.9166666666665,2449.0,2681.3333333333335,2711.3333333333335,2698.25,2711.1666666666665,2769.0
427,94538,1913.5,1787.6666666666667,1865.25,2013.25,2292.25,2617.0833333333335,2773.4166666666665,2764.6666666666665,2766.0,2820.8333333333335,2837.0
428,95076,1913.0,1947.1666666666667,2119.5,2087.9166666666665,2166.8333333333335,2414.0,2595.5,2650.75,2709.4166666666665,2785.25,2838.0
432,90802,1556.75,1498.9166666666667,1463.3333333333333,1514.8333333333333,1555.75,1672.5833333333333,1792.1666666666667,1878.1666666666667,1928.8333333333333,2050.5,2128.0
438,94513,1807.25,1779.5833333333333,1801.0,1846.0833333333333,1970.0,2134.25,2251.5,2273.3333333333335,2333.4166666666665,2378.9166666666665,2391.0
445,90631,1816.25,1817.9166666666667,1835.3333333333333,1864.5833333333333,1966.75,2106.0833333333335,2192.0,2224.3333333333335,2242.5833333333335,2286.3333333333335,2320.0
447,92104,1606.25,1610.6666666666667,1622.4166666666667,1675.6666666666667,1790.0833333333333,1974.5,2059.5,2130.9166666666665,2161.1666666666665,2281.25,2349.0
452,92647,2019.25,1987.3333333333333,1989.3333333333333,2021.8333333333333,2138.25,2247.5833333333335,2318.5,2362.5833333333335,2376.5833333333335,2456.7272727272725,2423.0
462,92154,1978.0,1850.0,1784.4166666666667,1833.6666666666667,1873.3333333333333,1996.25,2106.5,2177.3333333333335,2239.9166666666665,2320.4166666666665,2412.0
469,92618,1919.75,2080.5833333333335,2207.75,2300.4166666666665,2362.75,2414.5833333333335,2483.1666666666665,2496.8333333333335,2511.4166666666665,2548.0833333333335,2644.0
472,92115,1615.0,1585.1666666666667,1591.6666666666667,1618.4166666666667,1700.8333333333333,1795.75,1894.9166666666667,1960.0833333333333,2045.75,2159.6666666666665,2237.0
477,95355,1294.6666666666667,1118.9,1126.5833333333333,1155.6666666666667,1211.0,1329.75,1391.0833333333333,1471.0,1516.25,1565.6666666666667,1605.0
486,94587,2047.75,1835.1818181818182,1899.4166666666667,2049.9166666666665,2239.75,2526.6666666666665,2778.0,2805.5,2795.9166666666665,2789.5833333333335,2851.0
492,95670,1276.25,1286.1666666666667,1307.25,1348.5833333333333,1384.8333333333333,1441.5833333333333,1533.0,1611.0,1680.4166666666667,1732.1666666666667,1795.0
496,92646,2350.0,2278.9166666666665,2333.8333333333335,2370.5833333333335,2475.6666666666665,2612.3333333333335,2669.0833333333335,2713.9166666666665,2743.75,2796.75,2812.0
504,92620,2070.25,2198.1666666666665,2127.5454545454545,2283.1666666666665,2413.0,2591.25,2618.9166666666665,2585.4166666666665,2567.1666666666665,2604.5,2647.0
519,95014,2523.75,2620.9166666666665,2824.9166666666665,2926.25,3229.4,3753.6666666666665,3768.3333333333335,3617.4166666666665,3660.0833333333335,3702.25,3680.0
522,92376,1467.0,1467.25,1452.5,1471.6666666666667,1484.3333333333333,1561.8333333333333,1640.9166666666667,1665.1666666666667,1742.25,1776.25,1832.0
524,95112,1797.25,1799.6666666666667,2035.3333333333333,2162.75,2340.5,2783.9166666666665,2917.75,2916.5,2875.1666666666665,2933.8333333333335,2898.0
535,94080,2083.0,2373.0,2525.6666666666665,2667.1666666666665,2829.5,3223.3333333333335,3404.6666666666665,3266.0833333333335,3289.4166666666665,3396.3333333333335,3370.0
536,92648,2342.25,2321.75,2351.75,2384.9166666666665,2489.25,2657.25,2705.0,2817.75,2828.9166666666665,2878.25,2876.0
537,92130,2928.0,2787.8333333333335,2648.6666666666665,2689.9166666666665,2852.4166666666665,3011.0,3091.5,3165.5,3146.5833333333335,3289.5,3251.0
540,92105,1450.5,1461.5833333333333,1512.5,1536.4166666666667,1620.4166666666667,1730.25,1797.5,1858.9166666666667,1920.8333333333333,2086.3636363636365,2176.0
545,92122,2031.75,2036.8333333333333,2036.8333333333333,2090.1666666666665,2213.1666666666665,2342.0,2462.5,2513.3333333333335,2563.4166666666665,2646.5833333333335,2679.0
555,95648,1510.75,1563.8333333333333,1633.5833333333333,1665.3333333333333,1660.5833333333333,1789.0833333333333,1899.0,2000.75,2047.9166666666667,2099.0,2131.0
563,92563,1523.75,1556.8333333333333,1527.5,1576.4166666666667,1634.9166666666667,1719.1666666666667,1771.75,1867.0833333333333,1950.5833333333333,2000.25,2022.0
570,90036,2205.25,2250.5,2309.8333333333335,2376.8333333333335,2509.8333333333335,2756.0833333333335,2802.6666666666665,2938.5,2943.5,2974.3333333333335,2980.0
571,94112,3223.5,2735.125,2678.1666666666665,2882.3333333333335,3229.5833333333335,3885.1666666666665,4012.8333333333335,3803.9166666666665,3761.25,3798.0833333333335,3742.0
579,94087,2337.25,2462.0,2654.5,2751.5833333333335,3079.6,3673.25,3694.5833333333335,3562.6666666666665,3614.25,3649.1666666666665,3650.0
583,95125,2306.0,2336.5,2473.0833333333335,2602.5833333333335,2815.3333333333335,3199.0833333333335,3319.5833333333335,3264.4166666666665,3301.4166666666665,3330.9166666666665,3293.0
585,90640,2140.5,2067.0833333333335,2030.4166666666667,2105.9166666666665,2097.3333333333335,2255.25,2332.3333333333335,2409.1666666666665,2388.5833333333335,2352.9166666666665,2398.0
599,92562,1677.0,1677.9166666666667,1645.0833333333333,1679.9166666666667,1725.0,1825.8333333333333,1906.5833333333333,1980.6666666666667,2036.25,2038.75,2084.0
619,92117,2060.0,2000.9166666666667,1961.4166666666667,2014.1666666666667,2136.6666666666665,2268.5833333333335,2366.5,2411.1666666666665,2432.25,2552.5833333333335,2620.0
624,94086,2268.25,2348.0833333333335,2527.4166666666665,2658.3333333333335,2942.2,3443.75,3536.5,3459.5,3530.5833333333335,3573.4166666666665,3593.0
629,94806,1859.5,1773.5833333333333,1799.5833333333333,1873.6666666666667,2002.0833333333333,2264.75,2391.5,2432.0,2494.75,2504.4166666666665,2566.0
634,92128,1962.5,1973.5833333333333,1964.75,2006.9166666666667,2034.6666666666667,2207.25,2293.3333333333335,2366.3333333333335,2393.8333333333335,2442.5,2489.0
638,91801,2211.5,2159.0833333333335,2111.5833333333335,2166.25,2238.5833333333335,2383.1666666666665,2432.5833333333335,2500.75,2482.1666666666665,2478.75,2489.0
639,94591,1639.0,1625.3333333333333,1624.9166666666667,1646.75,1699.25,1939.5833333333333,2041.75,2115.25,2123.25,2197.8333333333335,2206.0
644,91331,2043.0,2001.3333333333333,2095.0,2146.0833333333335,2190.1666666666665,2320.0,2426.75,2481.6666666666665,2544.0,2529.0,2526.0
655,92805,1870.25,1839.5833333333333,1851.5,1898.25,1964.3333333333333,2154.0,2223.3333333333335,2201.0833333333335,2212.5,2336.4545454545455,2336.0
657,90042,2129.5,2072.1666666666665,2008.4166666666667,2109.0,2207.5,2407.1666666666665,2498.9166666666665,2529.9166666666665,2464.8333333333335,2435.0,2451.0
662,92020,1612.25,1580.25,1594.5833333333333,1641.75,1700.8333333333333,1806.9166666666667,1895.9166666666667,1951.5,2025.9166666666667,2180.2727272727275,2236.0
663,94553,2009.75,2002.1666666666667,2008.6666666666667,2115.75,2275.1666666666665,2448.0,2641.25,2677.0833333333335,2691.75,2724.5,2760.0
664,92201,1601.25,1560.1666666666667,1479.75,1499.75,1608.5833333333333,1617.75,1646.0833333333333,1677.5833333333333,1742.5,1837.75,1832.0
668,94015,2065.0,2419.25,2567.9166666666665,2686.5,2775.0833333333335,3247.3333333333335,3425.3333333333335,3347.4166666666665,3323.0,3439.8333333333335,3425.0
